"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.65137503032224,0.484,0.168,0,"1","AP3M2"
0,0.940015897175236,0.87,0.561,0,"1","LDHB"
0,1.65008762918961,0.485,0.178,0,"1","LIMS1"
0,0.261279212954508,0.895,0.589,0,"1","CD3G"
0,1.43290084070434,0.518,0.213,0,"1","SOCS3"
0,1.02642957103664,0.667,0.363,0,"1","RNASET2"
0,1.24687964662776,0.502,0.199,0,"1","GPR183"
0,1.10501664846956,0.588,0.302,0,"1","PAG1"
0,1.55178945045851,0.432,0.148,0,"1","INPP4B"
0,1.82657195423005,0.434,0.15,0,"1","MAF"
0,1.34368897383544,0.531,0.251,0,"1","TTC39C"
0,1.63041398742176,0.444,0.165,0,"1","TRADD"
0,1.44997230098513,0.442,0.168,0,"1","TRAT1"
0,1.22216714443434,0.515,0.241,0,"1","MAP3K1"
0,0.75627680869611,0.752,0.486,0,"1","TMEM123"
0,2.08495014183721,0.347,0.089,0,"1","AQP3"
0,1.24048870931433,0.49,0.235,0,"1","CDC14A"
0,0.69093765702452,0.648,0.394,0,"1","SPOCK2"
0,0.862037843173003,0.586,0.333,0,"1","MCUB"
0,0.955364444610367,0.592,0.339,0,"1","ITM2A"
0,1.26261820096771,0.562,0.312,0,"1","RGS1"
0,0.880149848580393,0.735,0.489,0,"1","GSTK1"
0,1.87704673444379,0.37,0.124,0,"1","CORO1B"
0,0.79978987769743,0.806,0.561,0,"1","FXYD5"
0,0.65179370041717,0.831,0.587,0,"1","LEPROTL1"
0,1.14040691663228,0.453,0.21,0,"1","CD27"
0,1.32456478232547,0.44,0.197,0,"1","PLP2"
0,0.79000614171807,0.756,0.513,0,"1","ITGB1"
0,1.49313651603267,0.396,0.154,0,"1","AC016831.5"
0,0.300502056064269,0.893,0.651,0,"1","CD3E"
0,1.35499330148517,0.443,0.204,0,"1","RGCC"
0,0.365360171609618,0.546,0.31,0,"1","COTL1"
0,0.44359736655669,0.951,0.715,0,"1","IL32"
0,0.705667572872581,0.505,0.272,0,"1","LEF1"
0,0.842871762672236,0.657,0.425,0,"1","SLC2A3"
0,1.52580979080853,0.35,0.118,0,"1","CD4"
0,0.45000406206591,0.707,0.475,0,"1","BCL11B"
0,0.575509969652645,0.71,0.479,0,"1","PIK3IP1"
0,0.761115830609162,0.64,0.414,0,"1","DNAJB1"
0,1.16007886239373,0.421,0.195,0,"1","PBXIP1"
0,1.19099519146285,0.428,0.205,0,"1","SESN3"
0,0.703161982279168,0.489,0.267,0,"1","CAMK4"
0,0.895681458171753,0.914,0.693,0,"1","KLF6"
0,1.7136192664531,0.317,0.097,0,"1","CD28"
0,0.723271175863864,0.696,0.477,0,"1","CYLD"
0,1.45456174457726,0.337,0.123,0,"1","TNFRSF25"
0,0.948132114725081,0.431,0.217,0,"1","SERINC5"
0,1.5147702081923,0.327,0.114,0,"1","BICDL1"
0,1.2454321387547,0.362,0.149,0,"1","PHACTR2"
0,1.12954351305658,0.395,0.183,0,"1","CD84"
0,1.63742045021573,0.304,0.094,0,"1","TSHZ2"
0,0.763881243673528,0.506,0.3,0,"1","RHOH"
0,0.646502301069191,0.888,0.683,0,"1","S100A10"
0,0.856372533386859,0.419,0.216,0,"1","GPRIN3"
0,0.735513225586068,0.549,0.347,0,"1","BCL2"
0,0.689456380873925,0.69,0.488,0,"1","CRIP1"
0,0.855818744558138,0.425,0.224,0,"1","DGKA"
0,0.760568011704817,0.887,0.687,0,"1","CD69"
0,0.671007360372438,0.557,0.358,0,"1","ODF2L"
0,0.803594842085819,0.406,0.208,0,"1","IRS2"
0,0.909141347098956,0.441,0.244,0,"1","MDFIC"
0,2.08386406631226,0.271,0.076,0,"1","TBC1D4"
0,0.5835832275624,0.792,0.598,0,"1","SOD1"
0,2.09683399142499,0.256,0.063,0,"1","ICOS"
0,0.541395527769531,0.666,0.475,0,"1","NSD3"
0,2.24450426159184,0.252,0.061,0,"1","LMNA"
0,0.652335394740535,0.522,0.331,0,"1","OCIAD2"
0,0.610037195326317,0.93,0.741,0,"1","VIM"
0,0.619245795558995,0.544,0.356,0,"1","EML4"
0,0.522503983515235,0.579,0.394,0,"1","EZR"
0,0.570210614977222,0.593,0.409,0,"1","MZT2A"
0,0.6104733207408,0.454,0.27,0,"1","OPTN"
0,0.799411971064623,0.458,0.274,0,"1","GSPT1"
0,0.856053643420127,0.397,0.214,0,"1","SOCS1"
0,1.40480260419995,0.319,0.137,0,"1","GATA3"
0,1.05219559409387,0.314,0.133,0,"1","TP53INP1"
0,0.543110033837211,0.917,0.737,0,"1","NAP1L1"
0,1.00086486543398,0.391,0.211,0,"1","CRYBG1"
0,1.41989321036397,0.291,0.111,0,"1","CASK"
0,1.72220936430573,0.256,0.077,0,"1","LINC00513"
0,0.66408855986123,0.514,0.335,0,"1","CDKN1B"
0,0.472866294422454,0.821,0.642,0,"1","CD44"
0,0.277270111729546,0.8,0.622,0,"1","CD2"
0,0.540217485004327,0.651,0.474,0,"1","PPP1R2"
0,0.892197858227828,0.356,0.18,0,"1","TENT5C"
0,0.703402391827701,0.475,0.299,0,"1","IL6ST"
0,0.654360924127103,0.428,0.253,0,"1","NCK2"
0,0.504067168003531,0.676,0.502,0,"1","MIF"
0,0.441832849629545,0.79,0.617,0,"1","FOXP1"
0,0.635347085983425,0.507,0.334,0,"1","PRDX1"
0,0.519473641469688,0.546,0.374,0,"1","NOSIP"
0,0.951913176192796,0.377,0.205,0,"1","TAB2"
0,0.775351291385473,0.373,0.201,0,"1","FAM102A"
0,0.397229239846948,0.494,0.323,0,"1","NFKBIZ"
0,0.505874753149921,0.408,0.238,0,"1","ANXA5"
0,0.437519274758601,0.627,0.458,0,"1","TNFAIP8"
0,1.08483946589897,0.314,0.146,0,"1","TMEM238"
0,0.437301505261317,0.601,0.433,0,"1","PEBP1"
0,0.673645494722633,0.415,0.248,0,"1","TLK1"
0,0.409370706097885,0.733,0.568,0,"1","NDUFS5"
0,0.536269396957695,0.55,0.385,0,"1","ARHGAP15"
0,0.390654474132304,0.754,0.589,0,"1","ISG20"
0,0.317992136255897,0.531,0.366,0,"1","VMP1"
0,0.55809578812853,0.442,0.278,0,"1","CCND2"
0,0.766657818990537,0.404,0.241,0,"1","CLDND1"
0,0.439547999172076,0.857,0.694,0,"1","NFKBIA"
0,0.675186853157254,0.608,0.446,0,"1","RNF19A"
0,0.366237436713432,0.668,0.507,0,"1","RORA"
0,0.48789961995478,0.454,0.294,0,"1","ITK"
0,1.13082548881387,0.294,0.135,0,"1","HIVEP2"
0,0.521179852064715,0.935,0.777,0,"1","SARAF"
